Day명,단어,뜻1,뜻2,문장1,문장1해석,문장2,문장2해석
Day 10,health,건강 (상태),,Running is good for your health.,달리기는 너의 건강에 좋다.,be in good[poor] health,건강 상태가 좋다[나쁘다]
Day 10,go on,(어떤 상황이) 계속되다,,This game must go on.,이 경기는 계속되어야 한다.,,
Day 10,in the end,마침내,,"She studied really hard, and in the end, she got an A.",,"In the end, everybody was happy.","교과서 마침내, 모두가 행복했다."
Day 11,knock,(문을) 두드리다,노크하다 answer. 교과서 그녀가 문을 두드렸지만,,,,
Day 11,driver,운전자,기사,He is a taxi driver.,그는 택시 기사이다.,0183 drive,동 운전하다
Day 11,fruit,과일,,An apple is a round and sweet fruit.,사과는 둥글고 달콤한 과일이다.,fruit juice,과일 주스
Day 11,slowly,느리게,천천히,The door opened slowly.,교과서 그 문은 천천히 열렸다.,0172 slow,"형 느린, 더딘"
Day 11,date,날짜,"만날 약속, 데이트",What is the date today?,오늘이 며칠이니?,I have a date with her.,나는 그녀와 데이트가 있다.
Day 11,cloud,구름,,There are no clouds in the sky.,하늘에 구름 한 점 없다.,0253 cloudy,"형 흐린, 구름 낀"
Day 11,class,"학급, 반",수업,He is the tallest boy in his class.,그는 반에서 가장 키가 큰 소년이다.,She is going to take an English class.,그녀는 영어 수업을 들을 것이다.
Day 11,high,(높이가) 높은 low 0186,"(정도 · 양이) 높은, 많은 low 0186     부 높이",Mt. Everest is very high.,에베레스트 산은 매우 높다.,The price is too high.,그 가격은 너무 높다.
Day 11,quick,신속한,빠른,It is quick to go by bus.,버스를 타고 가는 것이 빠르다.,quickly,부 빨리
Day 11,salty,소금이 든,짠,The sea water tastes very salty.,바닷물은 아주 짠 맛이 난다.,0067 sour (,"신, 시큼한)"
Day 11,buy,(bought-bought) 사다,구입하다,I wanted to buy a new bag.,교과서 나는 새 가방을 사고 싶었다.,,
Day 11,speak,"(spoke-spoken) 1. 이야기하다, 말하다",연설하다,She is speaking to her mother about school.,그녀는 학교에 대해 어머니와 이야기하고 있다.,He spoke at the meeting.,그는 회의에서 연설을 했다.
Day 11,work,"일하다, 근무하다","노력하다    명 일, 업무",I work as a tour guide.,교과서 나는 여행 가이드로 일한다.,He worked hard to become an actor.,그는 배우가 되기 위해 열심히 노력했다.
Day 11,before,… 전에    접 …하기 전에 after 0168 ( 전 / 접 ),,Come home before six o'clock.,6시 전에 집으로 와라.,I'll go home before it gets dark.,나는 어두워지기 전에 집에 갈 것이다.
Day 11,ship,(커다란) 배,선박,She went to Japan by ship.,그녀는 배를 타고 일본에 갔다.,0233 boat,"명 (소형) 배, 보트"
Day 11,birthday,생일,,This Friday is my birthday.,이번주 금요일은 내 생일이다.,,
Day 11,everyone,모든 사람,모두,He is nice to everyone.,그는 모든 사람에게 친절하다.,,
Day 11,paint,페인트    동 1. 페인트칠하다,(물감으로) 그리다,Is the paint dry?,페인트가 말랐니?,She painted the door white.,그녀는 문을 흰색으로 페인트칠했다.
Day 11,make fun of,…을 놀리다,,They make fun of my name.,그들은 내 이름을 가지고 놀린다.,,
Day 11,put on,…을 입다[신다,쓰다],He put on his new shoes.,그는 새 신발을 신었다.,IDIOMS & PHRASES,영단어 우리말 뜻 영단어 우리말 뜻 잘 외워지지 않는 영단어를 아래 빈칸에 다시 써 봅시다.
Day 12,tomorrow,내일    명 내일,,I'm going to get up early tomorrow.,교과서 나는 내일 일찍 일어날 것이다.,Tomorrow is Christmas.,내일은 크리스마스다.
Day 12,country,나라,((the ...)) 시골,China is a big country.,중국은 큰 나라이다.,He lives in the country.,그는 시골에 산다.
Day 12,set,"(set-set) 1. 놓다, 두다","(기계를) 맞추다    명 세트, 한 조",Set your books on the desk.,너의 책들을 책상 위에 놓아라.,He set his watch again.,그는 시계를 다시 맞추었다.
Day 12,knee,무릎,(옷의) 무릎 (부분),The soccer player injured his knee during the game.,그 축구 선수는 경기 도중에 무릎 부상을 입었다.,I don't like jeans that are torn at the knee.,나는 무릎 부분이 찢어진 청바지를 좋아하지 않는다.
Day 12,each,각자의,각각의    대 각자,She gave a box to each child.,그녀는 각 아이에게 상자를 한 개씩 주었다.,Each of them has a bicycle.,그들은 각자 자전거를 가지고 있다.
Day 12,alarm,경보(기),"자명종, 알람",I heard the fire alarm.,나는 화재 경보를 들었다.,He set the alarm for 7 a.m.,그는 알람을 오전 7시에 맞추었다.
Day 12,weather,날씨,,How's the weather today?,오늘은 날씨가 어떠니?,0505 sunny (,맑은)
Day 12,some,몇몇의,약간의    대 몇몇,I ate some pie.,나는 약간의 파이를 먹었다.,Do you want to meet some of them?,교과서 너는 그들 중 몇몇을 만나고 싶니?
Day 12,past,"과거의, 지나간",(바로) 지난    명 과거,The students learned about the artist's past works.,학생들은 그 화가의 과거 작품들에 대해 배웠다.,I was busy for the past two weeks.,나는 지난 2주 동안 바빴다.
Day 12,drawing,(연필 등으로 그린) 그림,,This is a drawing of my garden.,이것은 내 정원 그림이다.,0197 draw,동 (연필 등으로) 그리다
Day 12,late,늦은,지각한    부 늦게 early 0270 ( 형 / 부 ),I was late for school.,나는 학교에 지각했다.,Don't be too late.,교과서 너무 늦지 마.
Day 12,cost,비용,값 price 0193     동 (cost-cost) (비용이) 들다,The cost of living is rising.,생활비가 오르고 있다.,This backpack costs $50.,이 배낭은 50달러이다.
Day 12,boat,(소형) 배,보트,A boat was on the lake.,보트 한 척이 호수에 떠 있었다.,0215 ship,"명 (커다란) 배, 선박"
Day 12,speaker,연설가,발표자,She is a slow speaker.,그녀는 말이 느린 연설가이다.,0212 speak,동 말하다; 연설하다
Day 12,think,(thought-thought) 1. 생각하다,…라고 생각하다,What do you think about the movie?,너는 그 영화에 대해 어떻게 생각하니?,I think that he is smart.,나는 그가 똑똑하다고 생각한다.
Day 12,map,지도,,Let's find Canada on the map.,지도에서 캐나다를 찾아보자.,read a map,지도를 보다[읽다]
Day 12,half,(복수형 halves) 반,2분의 1    형 반의,He ate half of the cake.,그는 그 케이크의 반을 먹었다.,I waited for a half hour.,나는 30분 동안 기다렸다.
Day 12,idea,"생각, 발상, 아이디어","지식, 이해",She shared her ideas.,교과서 그녀는 그녀의 생각을 나누었다.,"""Where is Ted?"" ""I have no idea.""",
Day 12,take off,…을 벗다 put on 0220,(비행기가) 이륙하다,She took off her coat.,그녀는 코트를 벗었다.,The plane will take off at eight.,그 비행기는 8시에 이륙할 것이다.
Day 12,on one's way,(…로 가는) 길[도중]에,,I'm on my way home.,나는 집으로 가는 길이다.,She met him on her way to school.,그녀는 학교에 가는 길에 그를 만났다.
Day 13,holiday,휴일,공휴일,We don't work on holidays.,우리는 휴일에 일을 하지 않는다.,New Year's Day (1/1,신정)
Day 13,use,쓰다,사용하다    명 [jus] 사용,I don't use my phone when I walk.,교과서 나는 걸을 때 휴대폰을 쓰지 않는다.,be in use,사용되고 있다
Day 13,market,시장,,They bought some fruit at the market.,그들은 시장에서 약간의 과일을 샀다.,,
Day 13,present,참석[출석]한 absent,현재의    명 선물,He was present in the class.,그는 그 수업에 출석했다.,at the present time,"지금은, 현재로서는"
Day 13,pet,반려동물,,Her pet is a dog.,그녀의 반려동물은 개이다.,,
Day 13,much,많은    부 너무,매우,I don't have much time.,나는 시간이 많지 않다.,He eats too much.,그는 너무 많이 먹는다.
Day 13,any,[부정문] 아무것도,[의문문] 약간   3. [긍정문] 어떤 …든지,He didn't have any brothers.,그는 형제가 아무도 없다.,Do you have any money?,너는 돈이 좀 있니?
Day 13,kick,차다,걷어차다,He kicked the ball to me.,그가 내 쪽으로 공을 찼다.,,
Day 13,life,"(복수형 lives) 1. 인생, 삶","목숨, 생명",She lived a happy life.,그녀는 행복한 삶을 살았다.,He lost his life in the fire.,그는 화재로 목숨을 잃었다.
Day 13,board,판자,게시판    동 탑승하다,How thick is the board?,그 판자는 얼마나 두껍니?,We posted our work on the school's online,
Day 13,course,"강좌, 강의 class 0207","항로, 방향",I'm taking a Chinese course.,나는 중국어 강좌를 듣고 있다.,The ship changed its course.,그 배는 항로를 변경했다.
Day 13,sell,(sold-sold) 1. 팔다 buy 0211,팔리다,We'll make more bags and sell them.,교과서 우리는 더 많은 가방을 만들고 팔 것이다.,That sweater sells well.,저 스웨터는 잘 팔린다.
Day 13,cloudy,흐린,구름 낀,It will be cloudy today.,오늘은 날씨가 흐릴 것이다.,a cloudy sky,구름 낀 하늘
Day 13,painting,(물감으로 그린) 그림,,The girl in this painting is my sister.,이 그림 속 소녀는 내 여동생이다.,0218 paint,동 (물감으로) 그리다
Day 13,strong,힘센,강한,The woman is tall and strong.,그 여자는 키가 크고 힘이 세다.,strength,명 힘
Day 13,fall,(fell-fallen) 1. 떨어지다,"넘어지다, 쓰러지다    명 가을",The monkey fell from the tree.,그 원숭이는 나무에서 떨어졌다.,The child fell down on the ice.,그 아이는 얼음 위에서 넘어졌다.
Day 13,under,… 아래[밑]에 over 0276,… 미만[아래]인,He was sleeping under a tree.,그는 나무 아래에서 자고 있었다.,Children under ten cannot go in.,10세 미만인 어린이들은 입장할 수 없다.
Day 13,brush,붓,솔,We painted the wall with a brush.,우리는 붓으로 벽을 페인트칠했다.,She is brushing her hair.,그녀는 머리를 빗고 있다.
Day 13,find out,…을 알아내다,,I finally found out her name.,나는 마침내 그녀의 이름을 알아냈다.,,
Day 13,grow up,성장하다,자라다,He grew up in Seoul.,그는 서울에서 자랐다.,IDIOMS & PHRASES,영단어 우리말 뜻 영단어 우리말 뜻 잘 외워지지 않는 영단어를 아래 빈칸에 다시 써 봅시다.
Day 14,tag,꼬리표,,There isn't a price tag on this shirt.,이 셔츠에는 가격표가 안 붙어 있다.,,
Day 14,tooth,(복수형 teeth) 이,치아,A person has thirty-two teeth.,사람은 32개의 치아를 가지고 있다.,Brush your teeth before you go to bed.,자기 전에 양치질해라.
Day 14,little,작은,어린,I saw a little bug.,나는 작은 벌레 한 마리를 보았다.,There was a little girl with brown hair.,교과서 갈색 머리를 가진 어린 소녀가 있었다.
Day 14,call,(큰 소리로) 부르다,전화하다    명 전화 (통화),The teacher called her name.,그 선생님은 그녀의 이름을 불렀다.,I'll call you back.,내가 너에게 다시 전화할게.
Day 14,why,[의문문] 왜,어째서,Why does he eat alone?,그는 왜 혼자 먹고 있니?,B: Because I missed the bus. (,왜냐하면 저는 버스를 놓쳤어요.)
Day 14,around,… 주위에,…을 둘러싸고,We sat around the table.,우리는 그 탁자에 둘러앉았다.,,
Day 14,street,거리,길,I saw him on the street.,나는 길에서 그를 보았다.,walk down the street,거리를 걷다
Day 14,pick,고르다 choose 0315,"따다, 꺾다",She picked a white shirt.,그녀는 흰색 셔츠를 골랐다.,Don't pick flowers here.,이곳에서 꽃을 꺾지 마라.
Day 14,fine,훌륭한,좋은,It is fine weather for a picnic.,소풍 가기에 좋은 날씨이다.,DAY 14,
Day 14,early,일찍,빨리    형 이른,I get up early every day.,나는 매일 일찍 일어난다.,in the early morning,이른 아침에
Day 14,someday,(미래의) 언젠가,,I hope to go to Paris someday.,나는 언젠가 파리에 가기를 희망한다.,,
Day 14,key,열쇠,키,I can't find my house key.,나는 내 집 열쇠를 찾을 수 없다.,key,"는 명사뿐만 아니라 형용사로도 쓰여 ‘주요한, 핵심적인, 가장 중요한'이라는"
Day 14,bring,(brought-brought) 가져오다,데려오다,Bring your book next time.,다음번에는 너의 책을 가져와라.,Can I bring a friend with me?,친구를 데려와도 될까요?
Day 14,weak,약한,힘이 없는,My grandmother has weak legs.,할머니는 다리가 약하시다.,,
Day 14,cross,가로지르다,건너다,A woman is crossing the street.,한 여자가 길을 건너고 있다.,,
Day 14,over,… 위에[로] under 0257,"(수 등이) … 넘는 under 0257     부 건너, 너머",There is a bridge over the river.,강 위에 다리가 있다.,Over forty people came to the party.,40명이 넘는 사람들이 그 파티에 왔다.
Day 14,doctor,의사,,The doctor told me to drink a lot of water.,그 의사는 나에게 물을 많이 마시라고 했다.,,
Day 14,special,특별한,,Today is a special day.,교과서 오늘은 특별한 날이다.,specially,부 특별히
Day 14,by the way,그나저나,그런데,"By the way, where's my umbrella?","교과서 그나저나, 내 우산은 어디에 있지?",,
Day 14,up and down,위아래로,,The children are jumping up and down.,그 아이들은 위아래로 뛰고 있다.,IDIOMS & PHRASES,영단어 우리말 뜻 영단어 우리말 뜻 잘 외워지지 않는 영단어를 아래 빈칸에 다시 써 봅시다.
Day 15,yoga,요가,,I did yoga yesterday.,"나는 어제 요가를 했다. 요가는 자세와 호흡을 가다듬어 몸과 마음을 수양하는 인도 고유의 수행법으로, 2016년 유네스코 인류무형문화유산 대표목록에 등재되었습니다. 요가는 집중력 및 기억력의 증대와 스트레스 해소에 많은 도움을 줄 수 있으며, 자기 통제력과 조절 능력을 향상시 키는 효과가 있습니다.",,
Day 15,teacher,교사,선생,She is an English teacher.,그녀는 영어 교사이다.,0327 teach,동 가르치다
Day 15,useful,쓸모 있는,유용한,Old clothes can be useful in new ways.,교과서 낡은 옷들은 새로운 방식으로 쓸모 있을 수 있다.,0242 use,"동 쓰다, 사용하다;  명 사용"
Day 15,clear,분명한,"맑은, 투명한",The question is not clear.,그 질문은 분명하지 않다.,a clear sky,맑은 하늘
Day 15,road,길,도로,There are a lot of cars on the road.,도로에 차들이 많다.,0267 street,"명 거리, 길"
Day 15,gift,선물 present 0244,"재능, 재주",This is a small gift for you.,이것은 너를 위한 작은 선물이다.,He has a gift for music.,그는 음악에 재능이 있다.
Day 15,as,…할 때 when 0305,…이기 때문에,He watched TV as I cooked dinner.,,"As I was late, I ran.",나는 늦었기 때문에 달렸다.
Day 15,future,미래,장래    형 미래의,He'll be a star in the near future.,그는 가까운 미래에 스타가 될 것이다.,at a future date,훗날에
Day 15,train,기차,열차,"On the train, the two girls stood and chatted.","교과서 기차에서, 두 소녀가 일어서서 수다를 떨었다.",get on[off] a train,기차에 타다[기차에서 내리다]
Day 15,want,"원하다, 바라다",…하고 싶다 ((to-v)),I want a new desk.,나는 새 책상을 원한다.,He wants to be a model.,그는 모델이 되고 싶어 한다.
Day 15,dream,꿈    동 꿈을 꾸다,,I am working toward my dream.,교과서 나는 내 꿈을 이루기 위해 노력하고 있다.,I dreamed about a pig.,나는 돼지 꿈을 꾸었다.
Day 15,water,물    동 물을 주다,,Can I have some water?,물 좀 마실 수 있을까요?,She watered the flowers.,그녀는 그 꽃들에 물을 주었다.
Day 15,backpack,배낭    동 배낭여행하다,,The map is in my backpack.,그 지도는 내 배낭 안에 있다.,They are backpacking in the US.,그들은 미국에서 배낭여행을 하고 있다.
Day 15,die,죽다,,The dog died last year.,그 개는 작년에 죽었다.,0123 dead,형 죽은
Day 15,store,가게,상점,Buy some eggs at the store.,그 가게에서 달걀을 좀 사라.,,
Day 15,tonight,오늘 밤에    명 오늘 밤,,Let's eat out tonight.,오늘 밤에 외식하자.,Are you ready for tonight's talent show?,교과서 오늘 밤의 장기자랑을 위한 준비가 되었나요?
Day 15,because,… 때문에,왜냐하면,I didn't go to school because I had a cold.,나는 감기에 걸렸기 때문에 학교에 가지 않았다.,because of …,때문에
Day 15,balloon,풍선    동 부풀다,,There are balloons in the sky.,하늘에 풍선들이 떠 있다.,My apron ballooned out in the wind.,내 앞치마가 바람에 부풀어 올랐다.
Day 15,get up,(잠자리에서) 일어나다,일어서다,I got up late this morning.,나는 오늘 아침 늦게 일어났다.,Every student in class got up.,교실 안의 모든 학생들이 일어섰다.
Day 15,be made of,…로 만들어지다[구성되다],,This cup is made of gold.,이 컵은 금으로 만들어졌다.,IDIOMS & PHRASES,영단어 우리말 뜻 영단어 우리말 뜻 잘 외워지지 않는 영단어를 아래 빈칸에 다시 써 봅시다.
Day 16,glass,유리,유리잔   3. ((-es)) 안경,This window is made of glass.,이 창문은 유리로 만들어졌다.,She filled the glass with milk.,그녀는 유리잔에 우유를 채웠다.
Day 16,give,(gave-given) 주다,,She gave me a Christmas present.,그녀는 나에게 크리스마스 선물을 주었다.,,
Day 16,dish,시,그릇,She bought a glass dish.,그녀는 유리 접시를 하나 샀다.,bowl,"명 (속이 깊은) 그릇, 사발"
Day 16,wife,(복수형 wives) 아내,,She is my wife.,그녀는 내 아내이다.,0325 husband,명 남편
Day 16,when,[의문문] 언제    접 …할 때,,When is your birthday?,너의 생일은 언제니?,I was in the photography club when I was in middle school.,교과서 나는 중학생일 때 사진 동아리에 들었다.
Day 16,kitchen,엌,주방,My father is cooking in the kitchen.,아버지는 부엌에서 요리를 하고 계신다.,,
Day 16,police,((the ...)) 경찰,,Please call the police.,경찰을 불러주세요.,,
Day 16,busy,바쁜,혼잡한,She is busy with work.,그녀는 일 때문에 바쁘다.,a busy street,혼잡한 거리
Day 16,food,음식,식량,He likes Korean food.,그는 한국 음식을 좋아한다.,1. cool as a cucumber (,"침착한, 차분한)"
Day 16,almost,거의,,Drones can go almost anywhere.,교과서 드론은 거의 어디에나 갈 수 있다.,almost all,거의 전부
Day 16,stair,((-s)) 계단,,He came down the stairs to open the door.,그는 문을 열기 위해 계단을 내려왔다.,take the stairs,계단을 이용하다
Day 16,which,[의문문] 어느[어떤] 것    형 [의문문] 어느,어떤,Which is yours?,어떤 것이 너의 것이니?,Which cup is mine?,어느 컵이 내 것이니?
Day 16,subway,지하철,,We go to school by subway.,우리는 지하철을 타고 학교에 간다.,take the subway,지하철을 타다
Day 16,snack,간식,간단한 식사,They're making healthy and delicious snacks.,교과서 그들은 건강하고 맛있는 간식을 만들고 있다.,,
Day 16,choose,(chose-chosen) 선택하다,고르다,You can choose which movie we watch.,우리가 어떤 영화를 볼지 네가 골라도 돼.,0358 choice,명 선택권; 선택(하는 행동)
Day 16,take,(took-taken) 1. 가져가다 bring 0273,잡다 3. (시간이) 걸리다,I took my bag to my room.,나는 내 가방을 방으로 가져갔다.,He took my hand.,그가 내 손을 잡았다.
Day 16,into,… 안[속]으로,(상태가 변하여) …로,She walked into the hospital.,그녀는 병원 안으로 걸어 들어갔다.,Strawberries can be made into jam.,딸기는 잼으로 만들어질 수 있다.
Day 16,bread,빵,,They ate some bread with their soup.,그들은 수프와 빵을 조금 먹었다.,DAY 16,
Day 16,get well,(병이) 나아지다,회복하다,You will get well soon.,너는 곧 나아질 것이다.,,
Day 16,look around,(주위를) 둘러보다,구경하다,We will look around the museum.,우리는 박물관을 둘러볼 것이다.,IDIOMS & PHRASES,영단어 우리말 뜻 영단어 우리말 뜻 잘 외워지지 않는 영단어를 아래 빈칸에 다시 써 봅시다.
Day 17,wash,씻다,,Wash your hands before dinner.,저녁 식사 전에 손을 씻어라.,,
Day 17,sure,확신하는,,We are not sure about that.,우리는 그것에 대해 확신할 수 없다.,I am sure that you got the right answer.,교과서 나는 네가 정답을 맞혔다고 확신한다.
Day 17,pair,(한) 쌍[켤레],,She bought a new pair of glasses.,그녀는 새 안경 한 쌍을 샀다.,two pairs of socks,양말 두 켤레
Day 17,bottle,병,한 병(의 양),Could you open this bottle for me?,이 병 좀 열어주시겠어요?,a bottle of water,물 한 병
Day 17,husband,남편,,He is Jenny's husband.,,0304 wife,명 부인
Day 17,season,계절,"시기, 철",Which season do you like?,너는 어떤 계절을 좋아하니?,the rainy season,장마철
Day 17,teach,(taught-taught) 가르치다,,I wanted to teach English to my students.,교과서 나는 내 학생들에게 영어를 가르치고 싶었다.,0282 teacher,"명 교사, 선생"
Day 17,off,[이동 · 방향] 떨어져,멀리    전 [분리] …에서 떨어져,The cat jumped off the table.,고양이가 탁자에서 뛰어내렸다.,He fell off the horse.,그는 말에서 떨어졌다.
Day 17,mouth,입,,Don't talk with food in your mouth.,입에 음식이 있는 채로 말하지 말아라.,DAY 17,
Day 17,bridge,다리,,I crossed the bridge.,나는 다리를 건넜다.,1.,미국의 금문교 (Golden Gate Bridge)
Day 17,glove,장갑,,I put on a pair of gloves.,나는 장갑 한 켤레를 꼈다.,,
Day 17,heart,심장,마음,He has a weak heart.,그는 심장이 약하다.,A kind heart makes the world better.,따뜻한 마음은 세상을 더 좋게 만든다.
Day 17,leaf,(복수형 leaves) 잎,나뭇잎,Leaves are red and yellow in fall.,가을에는 나뭇잎들이 빨갛고 노랗다.,fallen leaves,낙엽
Day 17,hospital,병원,,There were many sick children at the hospital.,그 병원에는 아픈 아이들이 많이 있었다.,in the hospital,입원 중인
Day 17,chat,수다 떨다,채팅하다    명 잡담,I had a long chat with my friend.,나는 친구와 오래 수다를 떨었다.,She learned Korean to chat with me.,그녀는 나와 채팅하기 위해 한국어를 배웠다.
Day 17,age,나이,,He died at the age of seventy.,그는 70세의 나이로 죽었다.,children under the age of thirteen 13,세 미만의 어린이들
Day 17,shop,가게,상점 store 0295     동 물건을 사다,I visit doughnut shops on weekends.,교과서 나는 주말에 도넛 가게를 방문한다.,I often shop for clothes online.,나는 온라인으로 옷을 자주 산다.
Day 17,helpful,도움이 되는,유익한,His advice was very helpful.,그의 조언은 많은 도움이 되었다.,help,"동 돕다, 도와주다;  명 도움"
Day 17,these days,요즘,,days.,교과서 우리는 요즘 디지털 세상에서 많은 시간을 보낸다.,,
Day 17,get it,이해하다,,I don't get it. Can you say that again?,저는 이해를 못하겠어요. 다시 말씀해 주시겠어요?,IDIOMS & PHRASES,영단어 우리말 뜻 영단어 우리말 뜻 잘 외워지지 않는 영단어를 아래 빈칸에 다시 써 봅시다.
Day 18,title,제목,표제,I know the title of this book.,"나는 이 책의 제목을 안다. 표제(標題)는 일반적으로 책, 기사, 글, 작품 등의 제목을 뜻하는 단어입니다. 즉, ‘표제' = ‘제목'입니다. 예를 들어, 신문 기사에서 굵고 크게 적힌 문장은 그 글의 ‘표제'이며, 책의 앞표지에 있는 이름도 ‘표제'라고 할 수 있습니다. ‘표제'의 의미",,
Day 18,square,정사각형,광장    형 정사각형의,Cut the dough into squares.,반죽을 정사각형으로 잘라라.,the town square,마을 광장
Day 18,airplane,비행기,,I went to China by airplane.,나는 비행기를 타고 중국에 갔다.,,
Day 18,cousin,사촌,,My uncle took my cousin and me to the market.,교과서 삼촌은 내 사촌과 나를 시장에 데려갔다.,DAY,
Day 18,enjoy,즐기다,,She is enjoying the music.,그녀는 음악을 즐기고 있다.,They enjoy playing tennis.,그들은 테니스 치는 것을 즐긴다.
Day 18,ask,"묻다, 물어보다","부탁하다, 요청하다",May I ask your name?,제가 당신의 이름을 물어도 될까요?,He asked you to speak loudly.,그가 너에게 크게 말해 달라고 부탁했다.
Day 18,only,단지,오직    형 유일한,He only speaks English.,교과서 그는 오직 영어로만 말한다.,an only child,외동 아이
Day 18,arrive,도착하다,,The train arrived in Seoul at four.,그 기차는 4시에 서울에 도착했다.,He arrived at school early.,그는 학교에 일찍 도착했다.
Day 18,bathroom,욕실,화장실,Wash your face in the bathroom.,화장실에서 세수를 해라.,0413 restroom,명 (공공장소의) 화장실
Day 18,vegetable,채소,,Potatoes are a kind of vegetable.,감자는 채소의 일종이다.,0017 bean (,콩) broccoli (브로콜리) carrot (당근) corn (옥수수)
Day 18,show,(showed-shown) 보여주다    명 쇼,공연물,He showed me his picture.,그는 내게 자신의 사진을 보여주었다.,She was a guest on the quiz show.,그녀는 그 퀴즈쇼에 출연한 게스트였다.
Day 18,bath,목욕,,My dog hates baths.,내 개는 목욕을 싫어한다.,take[have] a bath,목욕하다
Day 18,become,(became-become) 1. …이 되다,…해지다,They will become parents in July.,그들은 7월에 부모가 될 것이다.,It became dark.,날이 어두워졌다.
Day 18,question,질문,,I have a question about the test.,나는 그 시험에 관해 질문이 있다.,ask a question,질문을 하다
Day 18,plate,시,,Put the salad on a plate.,샐러드를 접시에 담아라.,,
Day 18,finish,끝나다,끝마치다,All classes finish at five.,모든 수업은 5시에 끝난다.,"It is a hard race, but we can finish it.","교과서 그것은 힘든 경기지만, 우리는 끝마칠 수 있다."
Day 18,both,둘 다의,양쪽의    대 둘 다,Both boys can speak English.,그 두 소년들은 영어로 말할 수 있다.,Both of us were late.,우리 둘 다 늦었다.
Day 18,choice,선택권,선택(하는 행동),You have a choice between two T-shirts.,너는 두 티셔츠 중에서 고를 수 있는 선택권이 있다.,make a choice,선택하다
Day 18,see a doctor,병원에 가다,진찰을 받다,You look sick. You should see a doctor.,너 아파 보여. 너는 병원에 가야 해.,,
Day 18,pick up,…을 집다,…을 (차에) 태우러 가다[오다],it.,교과서 선생님은 그 종이를 집어 들고 그것을 살폈다.,Mom will pick me up at five.,엄마가 5시에 나를 태우러 올 것이다.
Day 19,rich,유한,부자인,The old lady is very rich.,그 노부인은 매우 부유하다.,get rich,부자가 되다
Day 19,send,(sent-sent) 보내다,발송하다,My friend sends me too many text messages.,교과서 내 친구는 나한테 너무 많은 문자 메시지를 보낸다.,,
Day 19,learn,배우다,익히다,She learned Chinese at school.,그녀는 학교에서 중국어를 배웠다.,,
Day 19,move,움직이다,이사하다,I can't move my finger.,나는 손가락을 움직일 수가 없다.,She moved to New York.,그녀는 뉴욕으로 이사했다.
Day 19,dessert,디저트,후식,I had apple pie for dessert.,"나는 후식으로 사과 파이를 먹었다. 디저트는 보통 설탕과 정제 탄수화물로 만들기 때문에 혈당을 빠르게 올릴 수 있어 건강에 부담이 되기도 합니다. 당뇨병이 있거나 혈당 조절이 필요한 사람에게는 특히 주의가 필요하지만, 과일, 그릭 요거트, 견과류, 다크 초콜릿, 치아 푸딩처럼 혈당을 천천히 올리고 포만감을 주는 건강한 디저트도 있습니다. 이런 디저트는 또한 식이섬유, 단백질, 건강한 지방이 풍부해 혈당 급등을 막아줍니다. 디저트와 건강",,
Day 19,world,세계,,There are many countries in the world.,세계에는 많은 국가들이 있다.,She travels all around the world.,교과서 그녀는 전 세계를 여행한다.
Day 19,restaurant,식당,음식점,We had lunch at a French restaurant.,우리는 프랑스 식당에서 점심을 먹었다.,,
Day 19,picnic,소풍,피크닉,Let's go on a picnic this Saturday.,이번 주 토요일에 소풍을 가자.,,
Day 19,case,"상자, 용기",경우,Put the glasses in the case.,안경을 상자에 넣어라.,in this[that] case,이러한[그러한] 경우에는
Day 19,library,도서관,,I often read books in the library.,나는 그 도서관에서 자주 책을 읽는다.,a school library,학교 도서관
Day 19,online,온라인의    부 온라인으로,,They play online games every day.,그들은 매일 온라인 게임을 한다.,shop online,온라인으로 쇼핑하다
Day 19,art,예술,미술,Music is a kind of art.,음악은 예술의 일종이다.,an art teacher,미술 교사
Day 19,hill,언덕,(낮은) 산,The course has small hills and lots of trees.,교과서 그 코스에는 작은 언덕들과 많은 나무들이 있다.,on a hill,언덕 위에
Day 19,wind,바람,,The wind was really strong yesterday.,어제는 바람이 정말 강했다.,a cold wind,차가운 바람
Day 19,homework,숙제,과제,Do your homework first.,숙제 먼저 해라.,She finished her homework.,그녀는 숙제를 끝냈다.
Day 19,touch,만지다,감동시키다,It's dangerous to touch wild animals.,야생동물을 만지는 것은 위험하다.,His words touched me.,그의 말은 나를 감동시켰다.
Day 19,side,"쪽, 측","측면, 옆면",The lake is on the east side of the city.,그 호수는 그 도시의 동쪽에 있다.,the side of a house,집의 측면
Day 19,letter,편지,"글자, 문자",I sent a letter to her.,나는 그녀에게 편지를 보냈다.,I learned the twenty-four letters of Hangeul.,교과서 나는 한글의 24개 글자를 배웠다.
Day 19,do the dishes,설거지를 하다,,Dad does the dishes every day.,아빠는 매일 설거지를 하신다.,,
Day 19,be over,끝나다,,The contest will be over tomorrow.,교과서 그 대회는 내일 끝날 것이다.,IDIOMS & PHRASES,영단어 우리말 뜻 영단어 우리말 뜻 잘 외워지지 않는 영단어를 아래 빈칸에 다시 써 봅시다.
Day 20,manner,"방식, 방법","태도   3. ((-s)) 예의, 예절",You should ride your bike in a safe manner.,너는 자전거를 안전한 방법으로 타야 한다.,His manner was cold.,그의 태도는 차가웠다.
Day 20,straight,똑바로,곧장    형 곧은,She walked straight to him.,그녀는 그에게 곧장 걸어갔다.,a straight road,직선 도로
